id,en,ka,ka_translated
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან.","""ახლა ჩვენ გვყავს 4 თვის თაგვები, რომლებიც არ არიან დიაბეტიკები, რომლებიც ადრე იყვნენ დიაბეტიკები,"" - დასძინა მან."
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა.","დოქტორმა ეჰუდ ურმა, ჰალიფაქსში, ნოვა შოტლანდიაში, დალჰაუზის უნივერსიტეტის მედიცინის პროფესორმა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარემ, გააფრთხილა, რომ კვლევა ჯერ კიდევ ადრეულ ეტაპზეა."
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ.","როგორც ზოგიერთი ექსპერტი, ის სკეპტიკურად არის განწყობილი იმის შესახებ, შესაძლებელია თუ არა დიაბეტის განკურნება, აღნიშნავს რა, რომ ამ დასკვნებს არანაირი მნიშვნელობა არ აქვს იმ ადამიანებისთვის, რომლებსაც უკვე აქვთ ტიპი 1 დიაბეტი."
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები.","ორშაბათს, სარა დანიუსმა, შვედეთის აკადემიის ლიტერატურის ნობელის კომიტეტის მუდმივმა მდივანმა, საჯაროდ გამოაცხადა შვედეთის რადიოში, Sveriges Radio-ს რადიოპროგრამაზე, რომ კომიტეტმა, რომელსაც ბობ დილანისთვის 2016 წლის ლიტერატურის ნობელის პრემიის მოგების შესახებ ვერ დაუკავშირდა, მიატოვა მასთან დაკავშირების მცდელობები."
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა.","დანიუსმა თქვა: ""ამჟამად არაფერს ვაკეთებთ. მე დავურეკე და მივწერე ელ.წერილი მის უახლოეს თანამოაზრეს და მივიღე ძალიან მეგობრული პასუხები. ჯერჯერობით ეს ნამდვილად საკმარისია."""
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა.","ადრე, რინგის აღმასრულებელმა დირექტორმა, ჯეიმი სიმინოფმა, აღნიშნა, რომ კომპანიამ დაიწყო, როდესაც მისი კარის ზარი არ ისმოდა მისი სახელოსნოდან მის ავტოფარეხში."
6,"He built a WiFi door bell, he said.",მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.,"მან ააწყო WiFi-ს კარის ზარი, თქვა მან."
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა.","სიმინოფმა თქვა, რომ გაყიდვები გაიზარდა 2013 წელს ზვიგენის ავზის ეპიზოდში გამოსვლის შემდეგ, სადაც შოუს პანელმა უარი თქვა სტარტაპის დაფინანსებაზე."
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.,"2017 წლის ბოლოს, სიმინოფი გამოჩნდა საყიდლებზე სატელევიზიო არხზე QVC."
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.,"Ring-მა ასევე მოაგვარა სარჩელი კონკურენტულ უსაფრთხოების კომპანიასთან, ADT Corporation-თან."
