id,en,ka,ka_translated
0,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან.","""ჩვენ ახლა გვაქვს 4 თვის ძაღლები, რომლებიც არ არის დიაბეტური, რომელიც გამოიყენა დიაბეტური,"" ის დაამატა."
1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა.","დოქტორი Ehud Ur, დოქტორი Dalhousie უნივერსიტეტში Halifax, Nova Scotia და კადემიური დისკუსის კლინიკური და სამეცნიერო დეპარტამენტის თავმჯდომარე აცხადებს, რომ კვლევა ჯერ კიდევ მისი პირველი დღეებშია."
2,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ.","როგორც ზოგიერთი სხვა ექსპერტი, ის სქემიკურია თუ არა დიაბეტს შეუძლია მკურნალობა, აღნიშნა, რომ ამ შედეგებს არ აქვს მნიშვნელობა ადამიანებს, რომლებიც უკვე ჰყავს ტიპის 1 დიაბეტს."
3,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები.","თებერვალს, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ, სავარაუდოდ განაცხადა, რომ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ, რომ სავარაუდოდ 2016 სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდ სავარაუდოდნია, რომ სავარაუდოდნენ ბომა დილანისთვის, რომელიც 2016 სავარაუდოდ სავარაუდოდ სავარაუდოდნენ."
4,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","„ჩვენ არაფერს ვაკეთებთ ამ ეტაპზე. მე გავუგზავნე ელექტრონული წერილები და დავურეკე მის უახლოეს თანამშრომლებს და მივიღე ძალიან მეგობრული პასუხები. ამ ეტაპისთვის, ეს ნამდვილად საკმარისია,“ — განაცხადა დენიუსმა.","Danius აცხადებს, ""დღეს ჩვენ არაფერი არ გააკეთებთ. მე დარეგისტრირდა და გაგზავნა ელ-ფოსტა მისი ახლოს თანამშრომელს და მიიღო ძალიან მეგობრული პასუხი. ახლა, ეს არის, რა თქმა უნდა, საკმარისი."""
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ring-ის აღმასრულებელმა დირექტორმა, ჯეიმი სიმონოვმა მანამდე აღნიშნა, რომ მან კომპანია ჩამოაყალიბა მაშინ, როდესაც ვერ გაიგე ავტოფარეხში გაკეთებული მაღაზიიდან მომავალი ზარის ხმა.","წინასწარ, Ring's CEO, Jamie Siminoff, აღნიშნა, რომ კომპანია დაიწყო, როდესაც მისი კარიბლი არ იყო მოსალოდნელი მისი მაღაზიაში მისი garage."
6,"He built a WiFi door bell, he said.",მისი თქმით მან WiFi-სთან დაკავშირებული კარის ზარი შექმნა.,"მან აშენდა WiFi კარი ბლოკი, მან განაცხადა."
7,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"სიმინოფმა განაცხადა, რომ გაყიდვები გაიზარდა 2013 წელს, გადაცემა Shark Tank-ის ეპიზოდის შემდეგ, როდესაც გადაცემის ჟიურიმ სტარტაპის დაფინანსებაზე უარი განაცხადა.","Siminoff განაცხადა, რომ სავაჭრო გაზრდა მისი 2013 გამოჩენის შემდეგ Shark Tank ეფექტში, სადაც შუა პანელი შეარჩიეს დაფინანსებას სტუდენტი."
8,"In late 2017, Siminoff appeared on shopping television channel QVC.",სიმინოფი სატელევიზიო მაღაზია QVC-ის არხზე 2017 წლის ბოლოს გამოჩნდა.,"2017 წლის ბოლოს, Siminoff გამოვიდა სავაჭრო ტელევიზია Channel QVC."
9,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",კომპანია Ring-მა ასევე მოაგვარა სარჩელი უსაფრთხოების კონკურენტ კომპანიასთან ADT.,"Ring ასევე გადაწყვიტა მოადგილე კონკურენტული უსაფრთხოების კომპანია, ADT Corporation."
