score,item_id,createdBy_id,sourceText,targetText,targetID,referenceText
76,1,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","„ახლა გვყავს 4 თვის არადიაბეტური თაგვები, რომლებიც ადრე დიაბეტით იყვნენ“, დასძინა მან.",google_sheet,"„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან."
76,2,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""ახლა ჩვენ გვყავს 4 თვის თაგვები, რომლებიც არ არიან დიაბეტიკები, რომლებიც ადრე იყვნენ დიაბეტიკები,"" - დასძინა მან.",kona,"„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან."
41,3,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""ჩვენ ახლა გვაქვს 4 თვის ძაღლები, რომლებიც არ არის დიაბეტური, რომელიც გამოიყენა დიაბეტური,"" ის დაამატა.",small100,"„ჩვენ ახლა გვყავს 4 თვის ასაკის თაგვები, რომლებსაც დიაბეტი ჰქონდათ და ახლა აღარ აქვთ,“ — დასძინა მან."
89,4,1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","დოქტორმა ეჰუდ ურმა, დალჰაუზის უნივერსიტეტის მედიცინის პროფესორმა ჰალიფაქსში, ნოვა შოტლანდია და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარემ გააფრთხილა, რომ კვლევა ჯერ კიდევ ადრეულ დღეებშია.",google_sheet,"ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა."
98,5,1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","დოქტორმა ეჰუდ ურმა, ჰალიფაქსში, ნოვა შოტლანდიაში, დალჰაუზის უნივერსიტეტის მედიცინის პროფესორმა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარემ, გააფრთხილა, რომ კვლევა ჯერ კიდევ ადრეულ ეტაპზეა.",kona,"ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა."
56,6,1,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","დოქტორი Ehud Ur, დოქტორი Dalhousie უნივერსიტეტში Halifax, Nova Scotia და კადემიური დისკუსის კლინიკური და სამეცნიერო დეპარტამენტის თავმჯდომარე აცხადებს, რომ კვლევა ჯერ კიდევ მისი პირველი დღეებშია.",small100,"ჰალიფაქსის, ახალი შოტლანდიის დალჰუსის უნივერსიტეტის სამედიცინო განყოფილების პროფესორისა და კანადის დიაბეტის ასოციაციის კლინიკური და სამეცნიერო განყოფილების თავმჯდომარის, დოქტორი ეჰუდ ურის განცხადებით კვლევა ჯერ ისევ საწყის ეტაპზე იმყოფებოდა."
78,7,1,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","ზოგიერთი სხვა ექსპერტის მსგავსად, ის სკეპტიკურად უყურებს თუ არა დიაბეტის განკურნებას და აღნიშნავს, რომ ეს დასკვნები არ არის შესაბამისი იმ ადამიანებისთვის, რომლებსაც უკვე აქვთ ტიპი 1 დიაბეტი.",google_sheet,"რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ."
98,8,1,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","როგორც ზოგიერთი ექსპერტი, ის სკეპტიკურად არის განწყობილი იმის შესახებ, შესაძლებელია თუ არა დიაბეტის განკურნება, აღნიშნავს რა, რომ ამ დასკვნებს არანაირი მნიშვნელობა არ აქვს იმ ადამიანებისთვის, რომლებსაც უკვე აქვთ ტიპი 1 დიაბეტი.",kona,"რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ."
42,9,1,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","როგორც ზოგიერთი სხვა ექსპერტი, ის სქემიკურია თუ არა დიაბეტს შეუძლია მკურნალობა, აღნიშნა, რომ ამ შედეგებს არ აქვს მნიშვნელობა ადამიანებს, რომლებიც უკვე ჰყავს ტიპის 1 დიაბეტს.",small100,"რამდენიმე სხვა ექსპერტის მსგავსად, დიაბეტის განკურნებას იგი სკეპტიკურად უყურებს, იმ ადამიანებთან არაფერი აქვს საერთო ამ დასკვნებს, ვისაც 1-ელი ტიპის დიაბეტი უკვე აქვთ."
77,10,1,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","ორშაბათს, სარა დანიუსმა, შვედეთის აკადემიის ნობელის ლიტერატურის კომიტეტის მუდმივმა მდივანმა, საჯაროდ გამოაცხადა შვედეთის Sveriges Radio-ზე გადაცემის დროს, რომ კომიტეტმა, რომელიც ვერ დაუკავშირდა ბობ დილანს პირდაპირ 2016 წლის ლიტერატურის ნობელის პრემიის მოპოვების თაობაზე, უარი თქვა მასთან მისასვლელად.",google_sheet,"სარა დენიუსმა, ლიტერატურის მიმართულებით შვედეთის აკადემიის ნობელის კომიტეტის მუდმივმა მდივანმა, ორშაბათს შვედეთის Sveriges Radio-ს რადიო გადაცემის ფარგლებში საჯაროდ განაცხადა, რომ 2016 წელს ლიტერატურაში ნობელის პრემიის მოგებასთან დაკავშირებით კომიტეტი ბობ დილანს პირდაპირ ვერ უკავშირდებოდა, რის შემდეგაც მათ შეწყვიტეს მცდელობები."
